Glyph Name,Master A,Master A LSB,Master A RSB,Master A Adv Width,Master B,Master B LSB,Master B RSB,Master B Advance Width,Match?
A,x1y1t1000-min,490,540,4607,x1y1000t1000-min,490,540,4607,Yes
B,x1y1t1000-min,540,460,4687,x1y1000t1000-min,540,620,4847,No
C,x1y1t1000-min,490,630,4667,x1y1000t1000-min,490,629,4666,No
D,x1y1t1000-min,540,490,4507,x1y1000t1000-min,540,490,4507,Yes
E,x1y1t1000-min,540,440,4306,x1y1000t1000-min,540,440,4306,Yes
F,x1y1t1000-min,540,280,4157,x1y1000t1000-min,540,280,4157,Yes
G,x1y1t1000-min,490,630,4555,x1y1000t1000-min,490,629,4554,No
H,x1y1t1000-min,540,540,4514,x1y1000t1000-min,540,540,4514,Yes
I,x1y1t1000-min,540,540,1082,x1y1000t1000-min,540,540,1082,Yes
J,x1y1t1000-min,490,490,4216,x1y1000t1000-min,490,490,4216,Yes
K,x1y1t1000-min,700,580,4877,x1y1000t1000-min,700,580,4877,Yes
L,x1y1t1000-min,490,138,3706,x1y1000t1000-min,490,138,3706,Yes
M,x1y1t1000-min,490,540,5893,x1y1000t1000-min,490,540,5893,Yes
N,x1y1t1000-min,490,540,4611,x1y1000t1000-min,490,540,4611,Yes
O,x1y1t1000-min,490,490,4457,x1y1000t1000-min,490,490,4457,Yes
P,x1y1t1000-min,540,290,3962,x1y1000t1000-min,540,290,3962,Yes
Q,x1y1t1000-min,490.0,490.0,4457,x1y1000t1000-min,490.0,490.0,4457,Yes
R,x1y1t1000-min,540,265,4022,x1y1000t1000-min,540,265,4022,Yes
S,x1y1t1000-min,490,490,4453,x1y1000t1000-min,490,490,4453,Yes
T,x1y1t1000-min,60,60,3718,x1y1000t1000-min,60,60,3718,Yes
U,x1y1t1000-min,5101.0,-4071.0,4611,x1y1000t1000-min,5101.0,-4071.0,4611,Yes
V,x1y1t1000-min,540,-324,3786,x1y1000t1000-min,540,-324,3786,Yes
W,x1y1t1000-min,6383.0,-5353.0,5893,x1y1000t1000-min,6383.0,-5353.0,5893,Yes
X,x1y1t1000-min,400,400,4308,x1y1000t1000-min,400,400,4308,Yes
Y,x1y1t1000-min,110,-44,3364,x1y1000t1000-min,110,-44,3364,Yes
Z,x1y1t1000-min,9,10,3265,x1y1000t1000-min,9,10,3265,Yes
a,x1y1t1000-min,330,360,3257,x1y1000t1000-min,330,360,3257,Yes
b,x1y1t1000-min,409,330,3297,x1y1000t1000-min,409,330,3297,Yes
c,x1y1t1000-min,330,250,2971,x1y1000t1000-min,330,250,2971,Yes
d,x1y1t1000-min,330,330,3211,x1y1000t1000-min,330,330,3211,Yes
